SAMPLE_ID,lon,lat,LOI_PCT,PH_CACL2,DATASOURCE,DATASET,OBJECTID,A_PHLOI_ID,X_ITM,Y_ITM,GLOBALID
559450A,-6.646214449664833,54.93530334030568,15.94,5.2,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14654,IE_GSI_GSNI_ApHLOI_14654,686755.313,910572.446,{0A888F9A-1986-49E5-93E8-4BD07EB5A153}
559451A,-6.440364613511546,54.71916292453943,12.540000000000001,5.21,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14655,IE_GSI_GSNI_ApHLOI_14655,700481.199,886793.499,{781F21C9-8A6A-41A6-A0E9-6062F323926A}
559452A,-6.367815932290402,54.739482068337985,14.3,5.69,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14656,IE_GSI_GSNI_ApHLOI_14656,705102.211,889160.98,{2C647AB3-8C9A-48BC-B3A3-D52BA5918EDA}
559453A,-6.57775564496001,54.90645675161119,16.29,5.0200000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14657,IE_GSI_GSNI_ApHLOI_14657,691207.323,907449.098,{B1FB7E65-25FE-416E-A1F9-4B29A249B81F}
559454A,-6.424251770412864,54.1110283331112,89.91,2.93,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14658,IE_GSI_GSNI_ApHLOI_14658,703033.15,819144.007,{6CF90059-C9BA-4D63-9762-6B88B36621E9}
559455A,-6.516893723013162,54.89016923367301,19.18,5.8500000000000005,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14659,IE_GSI_GSNI_ApHLOI_14659,695148.453,905717.456,{795DBB00-2DCE-4AB1-910C-0B94EB954E92}
559456A,-6.399476045538682,54.06904697446038,11.59,4.93,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14660,IE_GSI_GSNI_ApHLOI_14660,704758.744,814508.995,{97DBD2DD-9460-4CE5-A2D2-3E124A6A164D}
559457A,-6.406353331304463,54.73676051916522,13.280000000000001,5.19,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14661,IE_GSI_GSNI_ApHLOI_14661,702627.745,888801.063,{EB660BB3-C699-4E5A-AD5D-8E6054A467EF}
559458A,-6.495646923276392,54.94963148592215,20.92,5.36,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14662,IE_GSI_GSNI_ApHLOI_14662,696369.213,912364.026,{B6146FFF-2775-4AC2-8213-654DC57C6804}
559459A,-6.382566722756036,54.77026156573132,16.5,4.3,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14663,IE_GSI_GSNI_ApHLOI_14663,704073.449,892564.253,{5289B697-6008-4725-B26D-0B7743D76D48}
559460A,-6.338924057505221,54.72228923616125,11.18,5.07,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14664,IE_GSI_GSNI_ApHLOI_14664,707007.791,887291.377,{351DA68B-D925-4038-9128-80FAA354E10B}
559461A,-6.4235507540132675,54.740507117718444,13.17,5.19,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14665,IE_GSI_GSNI_ApHLOI_14665,701510.989,889192.981,{CFC2C713-816D-44B4-9C8D-3CC08244E52C}
559462A,-6.460800195662427,54.085813734500825,17.46,4.63,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14666,IE_GSI_GSNI_ApHLOI_14666,700704.616,816285.632,{96471B0C-C100-4E2A-830F-508201E7275B}
559463A,-6.514642871819694,54.90686037428048,11.72,5.22,Geological Survey of Northern Ireland (GSNI),Regional_Soils_A_XRF,14667,IE_GSI_GSNI_ApHLOI_14667,695253.438,907578.056,{263A3B5D-8ED5-4F23-A9DF-B41C87E6547B}
